,Open,Low,High,Close
2005-01-03,61.85,61.85,62.8,62.6
2005-01-04,62.25,62.25,64.3,64.2
2005-01-05,64.3,63.55,64.3,63.8
2005-01-06,64.2,63.95,65.0,64.5
2005-01-07,64.75,64.2,65.05,65.05
2005-01-10,65.5,64.5,65.5,64.6
2005-01-11,64.95,64.6,65.0,64.8
2005-01-12,64.95,64.1,65.3,64.4
2005-01-13,64.8,63.6,64.9,63.85
2005-01-14,63.7,63.65,64.55,64.45
2005-01-17,64.85,64.55,65.45,65.15
2005-01-18,64.9,64.5,65.3,65.1
2005-01-19,65.45,64.35,65.5,64.5
2005-01-20,64.05,63.8,64.95,63.8
2005-01-21,64.0,63.1,64.1,63.3
2005-01-24,63.0,62.3,63.3,62.65
2005-01-25,62.5,62.45,63.45,63.15
2005-01-26,63.35,62.3,63.4,62.3
2005-01-27,62.2,61.3,62.35,61.85
2005-01-28,62.0,61.35,62.45,62.2
2005-01-31,62.5,62.4,62.9,62.7
2005-02-01,63.1,62.9,63.6,63.5
2005-02-02,63.85,63.25,63.85,63.45
2005-02-03,63.6,63.4,63.85,63.4
2005-02-04,63.7,62.6,63.8,63.45
2005-02-07,63.75,63.65,64.15,64.0
2005-02-08,63.9,63.5,65.85,65.7
2005-02-09,66.5,65.9,67.55,67.1
2005-02-10,67.0,66.9,68.0,67.0
2005-02-11,67.0,66.9,68.8,68.5
2005-02-14,68.5,67.8,68.8,68.0
2005-02-15,67.95,67.95,69.45,68.95
2005-02-16,68.3,67.8,68.5,68.5
2005-02-17,68.35,68.35,69.2,68.75
2005-02-18,68.5,68.4,69.2,68.9
2005-02-21,69.0,68.95,69.6,69.05
2005-02-22,68.85,67.65,69.15,67.9
2005-02-23,67.15,66.0,67.2,67.0
2005-02-24,66.8,66.6,68.95,68.45
2005-02-25,68.7,68.45,69.0,68.8
2005-02-28,68.85,68.0,69.1,68.4
2005-03-01,68.25,67.65,68.35,68.0
2005-03-02,68.0,67.35,68.2,67.75
2005-03-03,67.6,67.35,68.4,68.0
2005-03-04,68.45,67.5,68.45,68.2
2005-03-07,68.2,68.0,68.6,68.4
2005-03-08,68.5,68.5,69.9,68.9
2005-03-09,69.2,68.5,69.25,68.75
2005-03-10,68.5,68.1,69.6,68.75
2005-03-11,68.85,68.8,69.55,69.15
2005-03-14,69.15,68.4,69.45,68.8
2005-03-15,69.15,68.6,69.25,68.6
2005-03-16,68.7,66.7,68.7,67.0
2005-03-17,67.3,66.8,67.3,67.2
2005-03-18,66.95,66.75,67.85,67.85
2005-03-21,67.75,67.5,68.15,67.7
2005-03-22,67.75,67.1,68.35,68.05
2005-03-23,67.8,67.6,69.05,69.0
2005-03-24,69.1,68.7,70.75,70.5
2005-03-29,69.55,69.55,70.5,70.05
2005-03-30,69.95,69.6,70.0,69.6
2005-03-31,69.9,68.85,70.15,68.9
2005-04-01,69.0,68.9,71.0,69.8
2005-04-04,69.5,68.5,69.75,69.3
2005-04-05,69.9,69.55,71.0,70.9
2005-04-06,71.25,70.4,72.0,70.95
2005-04-07,71.1,70.85,71.5,71.35
2005-04-08,71.5,70.65,71.75,70.65
2005-04-11,70.45,70.1,70.55,70.4
2005-04-12,70.1,69.5,70.3,69.5
2005-04-13,70.0,68.7,70.0,68.9
2005-04-14,68.8,68.45,69.25,69.25
2005-04-15,68.3,67.3,68.5,67.5
2005-04-18,66.25,65.7,66.6,66.0
2005-04-19,66.2,66.05,67.05,66.6
2005-04-20,66.95,65.65,67.15,65.65
2005-04-21,65.65,65.65,67.3,66.8
2005-04-22,67.7,66.3,67.75,66.35
2005-04-25,65.1,64.9,66.1,65.65
2005-04-26,65.9,65.75,66.45,66.35
2005-04-27,65.65,65.35,66.45,66.2
2005-04-28,66.85,65.3,66.9,65.35
2005-04-29,65.5,64.4,65.5,64.7
2005-05-02,65.35,65.0,65.65,65.5
2005-05-03,65.7,64.85,65.7,65.25
2005-05-04,66.25,65.4,66.45,66.25
2005-05-05,66.5,66.15,66.7,66.4
2005-05-06,66.7,65.8,66.85,66.8
2005-05-09,67.65,67.15,67.85,67.6
2005-05-10,67.5,67.5,68.85,67.95
2005-05-11,67.95,67.25,68.25,67.5
2005-05-12,68.0,67.55,68.4,67.8
2005-05-13,66.75,66.55,68.0,67.9
2005-05-16,67.55,67.1,68.0,67.35
2005-05-17,67.65,66.85,67.65,66.95
2005-05-18,67.05,67.05,68.7,68.7
2005-05-19,68.75,68.75,69.9,69.5
2005-05-20,69.9,69.55,70.45,70.05
2005-05-23,70.05,69.5,70.45,69.75
2005-05-24,69.75,68.85,69.85,69.2
2005-05-25,68.95,68.55,69.65,69.5
2005-05-26,69.45,69.3,70.45,70.15
2005-05-27,70.05,69.35,70.35,69.55
2005-05-30,69.3,69.0,69.5,69.35
2005-05-31,69.85,69.35,70.0,69.55
2005-06-01,69.8,69.3,71.05,71.0
2005-06-02,70.65,70.6,71.1,71.0
2005-06-03,70.8,69.85,71.0,69.9
2005-06-06,69.75,69.7,70.55,70.25
2005-06-07,70.4,70.2,71.75,71.4
2005-06-08,70.8,70.8,71.85,71.55
2005-06-09,71.1,70.1,71.3,70.25
2005-06-10,70.7,69.95,70.75,70.05
2005-06-13,70.0,69.55,70.6,70.05
2005-06-14,69.7,69.25,69.9,69.55
2005-06-15,69.6,69.6,70.85,70.0
2005-06-16,70.45,70.2,70.9,70.5
2005-06-17,70.75,70.2,71.0,70.75
2005-06-20,70.15,69.85,70.6,70.1
2005-06-21,70.2,70.2,71.5,71.35
2005-06-22,71.0,71.0,72.5,72.1
2005-06-23,72.45,72.25,72.8,72.4
2005-06-24,71.5,70.8,71.75,71.4
2005-06-27,70.75,70.1,70.85,70.5
2005-06-28,70.3,70.3,71.4,70.85
2005-06-29,70.95,70.95,72.15,71.8
2005-06-30,72.0,71.65,72.95,72.9
2005-07-01,72.65,72.2,73.4,73.4
2005-07-04,73.3,72.65,73.3,72.95
2005-07-05,72.9,72.25,73.1,72.75
2005-07-06,73.1,72.45,73.35,72.85
2005-07-07,72.3,69.85,72.45,71.45
2005-07-08,71.75,71.15,72.9,72.65
2005-07-11,72.8,72.65,73.65,73.6
2005-07-12,73.6,73.15,73.7,73.4
2005-07-13,73.65,73.15,74.1,74.1
2005-07-14,74.3,74.15,75.7,75.55
2005-07-15,75.75,75.0,76.3,76.05
2005-07-18,75.8,75.7,76.7,76.25
2005-07-19,76.1,75.25,77.0,76.9
2005-07-20,76.4,75.9,76.85,76.2
2005-07-21,76.5,75.25,76.7,75.9
2005-07-22,76.25,75.25,76.25,76.1
2005-07-25,76.15,76.1,76.85,76.75
2005-07-26,76.35,75.3,76.35,75.5
2005-07-27,75.25,74.8,76.1,75.55
2005-07-28,75.8,75.5,76.5,76.3
2005-07-29,76.35,75.05,76.75,75.6
2005-08-01,75.6,75.05,76.85,76.7
2005-08-02,76.7,76.55,78.05,78.05
2005-08-03,77.75,77.05,78.15,77.6
2005-08-04,77.25,75.5,77.8,76.25
2005-08-05,76.15,74.95,76.15,75.0
2005-08-08,74.9,74.9,76.15,75.55
2005-08-09,75.35,74.8,76.3,76.0
2005-08-10,76.2,76.1,77.05,76.8
2005-08-11,76.65,76.35,77.1,76.65
2005-08-12,76.0,75.6,76.8,75.7
2005-08-15,75.85,75.05,75.9,75.25
2005-08-16,75.55,74.25,75.65,74.35
2005-08-17,74.25,74.0,75.3,75.1
2005-08-18,75.1,74.0,75.1,74.65
2005-08-19,74.95,74.15,75.0,74.75
2005-08-22,74.85,74.7,76.0,75.25
2005-08-23,74.85,74.3,75.1,74.3
2005-08-24,74.3,73.4,74.4,73.6
2005-08-25,73.25,71.75,73.25,72.3
2005-08-26,72.3,71.75,72.9,71.95
2005-08-29,71.25,71.05,72.0,71.55
2005-08-30,71.9,70.9,72.9,71.25
2005-08-31,71.1,71.1,72.1,71.75
2005-09-01,72.1,71.3,72.6,71.4
2005-09-02,71.5,69.85,72.1,70.15
2005-09-05,70.45,70.2,72.05,71.9
2005-09-06,71.9,71.45,72.65,72.1
2005-09-07,72.0,72.0,72.95,72.7
2005-09-08,72.5,71.9,73.15,72.45
2005-09-09,72.6,72.6,73.2,73.05
2005-09-12,73.25,73.1,73.8,73.3
2005-09-13,73.3,72.0,73.7,72.45
2005-09-14,72.5,72.5,73.55,73.1
2005-09-15,72.7,72.55,74.35,73.85
2005-09-16,73.8,73.55,74.65,74.15
2005-09-19,73.45,72.75,74.5,73.85
2005-09-20,73.95,73.95,75.5,75.5
2005-09-21,74.8,74.45,75.5,74.5
2005-09-22,74.15,73.45,75.1,73.7
2005-09-23,73.8,73.8,75.05,74.75
2005-09-26,75.7,75.6,77.65,77.35
2005-09-27,77.3,76.45,77.3,77.15
2005-09-28,78.0,78.0,79.75,79.65
2005-09-29,79.15,78.0,79.6,78.25
2005-09-30,78.65,77.9,79.1,78.8
2005-10-03,78.85,78.85,80.4,80.35
2005-10-04,80.0,80.0,82.45,82.25
2005-10-05,81.35,80.45,82.0,80.45
2005-10-06,79.25,77.75,79.35,78.5
2005-10-07,78.1,76.85,78.7,77.1
2005-10-10,77.05,76.0,78.3,76.55
2005-10-11,76.0,76.0,77.75,76.95
2005-10-12,76.55,75.9,77.4,76.55
2005-10-13,76.4,75.1,77.15,75.1
2005-10-14,75.0,75.0,76.75,76.15
2005-10-17,76.2,75.45,77.4,76.35
2005-10-18,76.4,75.05,76.55,75.65
2005-10-19,75.0,73.05,75.35,73.15
2005-10-20,74.0,72.9,74.4,73.15
2005-10-21,71.6,71.6,73.75,72.9
2005-10-24,71.1,71.1,73.95,73.85
2005-10-25,73.9,71.65,74.3,71.85
2005-10-26,72.1,71.85,73.05,72.4
2005-10-27,71.5,71.5,73.95,71.75
2005-10-28,71.1,69.7,71.2,70.2
2005-10-31,70.9,70.9,72.25,72.25
2005-11-01,72.7,71.15,72.7,71.7
2005-11-02,71.35,70.1,71.9,71.05
2005-11-03,71.05,70.6,71.65,71.6
2005-11-04,71.05,70.2,71.5,71.0
2005-11-07,71.2,70.8,72.5,72.0
2005-11-08,72.1,71.65,72.8,71.85
2005-11-09,71.5,68.2,71.85,68.45
2005-11-10,68.85,67.65,69.1,67.8
2005-11-11,68.5,68.0,69.4,69.2
2005-11-14,69.4,68.8,69.7,69.35
2005-11-15,69.6,69.15,69.6,69.4
2005-11-16,69.85,68.9,70.2,69.4
2005-11-17,65.0,64.0,66.7,66.0
2005-11-18,66.8,66.1,67.6,66.65
2005-11-21,66.0,65.9,67.85,67.7
2005-11-22,67.8,66.6,67.9,67.15
2005-11-23,67.4,66.2,67.4,67.4
2005-11-24,67.45,66.4,68.25,67.15
2005-11-25,66.45,66.3,67.3,66.5
2005-11-28,66.6,66.6,67.55,66.6
2005-11-29,66.9,66.1,66.9,66.85
2005-11-30,66.1,65.75,66.9,66.4
2005-12-01,66.65,66.6,68.75,68.65
2005-12-02,68.6,68.5,69.4,69.4
2005-12-05,69.0,68.35,69.4,68.75
2005-12-06,68.65,68.0,69.05,68.4
2005-12-07,68.25,67.55,68.45,67.7
2005-12-08,67.1,66.25,67.15,66.75
2005-12-09,66.5,66.2,67.15,67.0
2005-12-12,67.05,66.6,67.3,66.95
2005-12-13,67.5,67.2,68.35,67.9
2005-12-14,68.1,67.65,68.2,67.9
2005-12-15,68.05,67.3,68.55,67.85
2005-12-16,67.55,67.2,68.3,67.45
2005-12-19,67.15,66.8,67.95,67.0
2005-12-20,66.65,66.45,67.3,66.5
2005-12-21,66.5,66.5,67.9,67.85
2005-12-22,67.7,66.85,68.2,66.95
2005-12-23,66.95,66.65,67.65,67.5
2005-12-27,67.5,67.35,68.7,68.55
2005-12-28,68.35,68.2,69.2,68.5
2005-12-29,68.4,68.4,69.7,69.4
2005-12-30,69.15,68.4,69.65,68.9
2006-01-02,68.9,68.9,71.75,71.4
2006-01-03,71.5,71.05,73.6,71.75
2006-01-04,72.25,70.25,72.45,70.9
2006-01-05,70.65,70.15,71.25,70.2
2006-01-06,70.45,70.45,71.7,71.65
2006-01-09,72.65,72.6,74.0,73.2
2006-01-10,73.35,72.9,74.15,73.65
2006-01-11,73.25,72.8,74.2,73.3
2006-01-12,73.7,73.1,73.9,73.25
2006-01-13,73.6,73.6,75.7,75.0
2006-01-16,74.5,73.7,75.2,73.8
2006-01-17,73.25,73.15,73.8,73.4
2006-01-18,72.5,72.2,73.15,72.6
2006-01-19,73.25,73.15,75.8,75.5
2006-01-20,75.15,74.75,76.4,75.7
2006-01-23,74.3,74.05,75.3,74.7
2006-01-24,75.1,74.3,76.25,75.45
2006-01-25,76.0,75.8,77.05,76.8
2006-01-26,77.4,76.35,77.65,77.55
2006-01-27,78.05,77.7,78.95,78.2
2006-01-30,76.6,76.6,78.2,77.6
2006-01-31,77.25,76.85,78.05,77.7
2006-02-01,77.2,76.2,77.45,77.2
2006-02-02,77.1,76.15,78.0,76.4
2006-02-03,75.8,75.6,76.9,76.35
2006-02-06,76.15,76.15,77.4,76.85
2006-02-07,77.25,76.3,77.7,77.65
2006-02-08,76.9,75.55,77.55,75.65
2006-02-09,73.5,71.9,76.9,76.4
2006-02-10,76.3,76.3,79.95,79.65
2006-02-13,79.45,79.2,83.9,83.9
2006-02-14,83.45,81.5,83.7,82.95
2006-02-15,82.8,81.55,83.15,81.95
2006-02-16,82.0,80.75,82.45,81.9
2006-02-17,81.85,81.75,84.0,82.6
2006-02-20,83.95,82.15,83.95,82.9
2006-02-21,83.0,81.25,83.65,82.0
2006-02-22,81.8,81.25,82.35,82.35
2006-02-23,82.15,80.75,82.75,81.2
2006-02-24,80.5,80.15,82.05,81.7
2006-02-27,81.0,80.95,81.95,81.85
2006-02-28,82.0,80.5,83.55,80.65
2006-03-01,80.55,80.25,82.0,81.9
2006-03-02,82.2,79.85,82.2,80.15
2006-03-03,80.15,79.9,81.15,80.35
2006-03-06,80.25,80.25,81.65,80.6
2006-03-07,80.6,80.0,81.25,80.95
2006-03-08,81.5,78.6,81.5,79.85
2006-03-09,80.85,79.35,81.0,80.8
2006-03-10,80.2,80.0,81.45,81.3
2006-03-13,81.8,80.95,82.4,81.45
2006-03-14,81.3,81.0,82.4,82.35
2006-03-15,82.25,81.4,82.9,82.0
2006-03-16,81.7,81.7,82.95,82.9
2006-03-17,82.6,82.6,83.75,83.5
2006-03-20,83.25,83.25,84.45,84.3
2006-03-21,84.5,83.2,84.55,84.45
2006-03-22,83.6,83.4,85.25,84.6
2006-03-23,84.5,84.5,85.8,85.65
2006-03-24,85.85,85.5,87.6,87.3
2006-03-27,87.1,86.5,88.45,86.7
2006-03-28,86.7,86.7,88.15,87.85
2006-03-29,87.85,86.9,88.15,87.8
2006-03-30,88.35,87.95,89.1,88.95
2006-03-31,88.1,87.7,88.9,87.75
2006-04-03,87.9,87.7,88.95,88.4
2006-04-04,87.5,87.3,87.85,87.5
2006-04-05,87.95,86.75,88.25,87.05
2006-04-06,87.1,86.9,88.0,87.75
2006-04-07,87.5,86.4,87.75,86.6
2006-04-10,86.3,85.6,87.2,85.8
2006-04-11,85.95,84.05,85.95,84.25
2006-04-12,84.15,83.05,84.8,84.15
2006-04-13,83.95,83.55,84.55,84.5
2006-04-18,83.0,83.0,84.5,84.3
2006-04-19,85.25,84.5,85.85,85.15
2006-04-20,84.9,84.5,86.3,85.75
2006-04-21,86.05,85.2,86.7,85.65
2006-04-24,85.7,85.05,86.3,85.95
2006-04-25,89.0,89.0,92.05,92.05
2006-04-26,91.05,90.85,94.4,93.1
2006-04-27,93.2,91.75,93.85,93.15
2006-04-28,92.95,91.85,94.35,92.0
2006-05-02,91.75,91.75,93.8,93.35
2006-05-03,93.05,93.05,94.3,93.55
2006-05-04,93.55,92.5,94.3,92.75
2006-05-05,92.7,92.4,93.55,93.0
2006-05-08,93.8,93.1,94.45,93.35
2006-05-09,93.4,93.35,96.85,96.35
2006-05-10,95.85,94.5,97.5,97.15
2006-05-11,96.6,94.55,97.2,94.6
2006-05-12,93.6,91.9,94.4,93.3
2006-05-15,91.9,89.0,92.2,89.7
2006-05-16,90.0,88.1,90.7,89.85
2006-05-17,90.5,86.55,90.8,86.55
2006-05-18,86.65,85.8,89.1,87.4
2006-05-19,87.8,86.6,88.6,87.4
2006-05-22,86.7,84.6,87.3,84.6
2006-05-23,84.9,84.9,88.2,87.3
2006-05-24,86.05,84.7,88.15,87.95
2006-05-25,87.8,86.5,88.95,88.3
2006-05-26,89.0,88.15,89.8,89.7
2006-05-29,89.35,89.05,90.8,90.55
2006-05-30,90.75,87.5,90.8,87.75
2006-05-31,86.65,86.4,89.7,89.7
2006-06-01,89.5,87.5,90.25,89.1
2006-06-02,90.5,88.25,90.8,88.5
2006-06-05,88.35,86.95,88.45,87.15
2006-06-06,85.65,84.6,86.2,85.0
2006-06-07,85.85,84.5,85.85,85.45
2006-06-08,82.6,81.05,84.45,84.2
2006-06-09,85.85,84.3,85.9,84.6
2006-06-12,84.25,83.4,85.2,83.8
2006-06-13,81.95,81.15,83.0,81.5
2006-06-14,82.3,80.1,82.85,81.15
2006-06-15,81.5,81.5,84.0,84.0
2006-06-16,85.35,83.5,86.45,83.6
2006-06-19,83.65,83.65,85.75,85.05
